brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Goodman,2568,AMST24BU13,Goodman AMST24BU13 2 Ton R-32 Multi-Position Air Handler,7385,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2568/images/7385/Goodman-AMST24BU1400-2-Ton-Multi-Positional-Air-Handler-with-Multi-Speed-ECM-Motor-Front-Angled-View-3_600x__80984.1681496172.1280.1280__72508.1724335616.386.513.jpg?c=1,description,,Goodman AMST24BU13 2 Ton R 32 Multi Position Air Handler,updated,
Goodman,2569,AMST30BU13,Goodman AMST30BU13 2.5 Ton R-32 Multi-Position Air Handler,7386,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2569/images/7386/Goodman-AMST24BU1400-2-Ton-Multi-Positional-Air-Handler-with-Multi-Speed-ECM-Motor-Front-Angled-View-3_600x__80984.1681496172.1280.1280__72508.1724335616.1280.1280__86024.1724337183.386.513.jpg?c=1,description,,Goodman AMST30BU13 2.5 Ton R 32 Multi Position Air Handler,updated,
Goodman,2569,AMST30BU13,Goodman AMST30BU13 2.5 Ton R-32 Multi-Position Air Handler,7387,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2569/images/7387/Goodman-AMST24BU1400-2-Ton-Multi-Positional-Air-Handler-with-Multi-Speed-ECM-Motor-Front-Angled-View-4_600x__30833.1681496173.1280.1280__20435.1724335616.1280.1280__78432.1724337183.386.513.jpg?c=1,description,,Goodman AMST30BU13 2.5 Ton R 32 Multi Position Air Handler,updated,
Goodman,2570,AMST36BU13,Goodman AMST36BU13 3 Ton R-32 Multi-Position Air Handler,7388,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2570/images/7388/1724337183.1280.1280__00846.1724337342.386.513.jpg?c=1,description,,Goodman AMST36BU13 3 Ton R 32 Multi Position Air Handler,updated,
Goodman,2570,AMST36BU13,Goodman AMST36BU13 3 Ton R-32 Multi-Position Air Handler,7389,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2570/images/7389/1724337183.1280.1280__04088.1724337342.386.513.jpg?c=1,description,,Goodman AMST36BU13 3 Ton R 32 Multi Position Air Handler,updated,
Goodman,2571,AMST42CU13,Goodman AMST42CU13 3.5 Ton R-32 Multi-Position Air Handler,7390,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2571/images/7390/1724337183.1280.1280__04088.1724337342.1280.1280__88331.1724337921.386.513.jpg?c=1,description,,Goodman AMST42CU13 3.5 Ton R 32 Multi Position Air Handler,updated,
Goodman,2571,AMST42CU13,Goodman AMST42CU13 3.5 Ton R-32 Multi-Position Air Handler,7391,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2571/images/7391/1724337183.1280.1280__00846.1724337342.1280.1280__33534.1724337921.386.513.jpg?c=1,description,,Goodman AMST42CU13 3.5 Ton R 32 Multi Position Air Handler,updated,
Goodman,2572,AMST48CU13,Goodman AMST48CU13 4 Ton R-32 Multi-Position Air Handler,7392,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2572/images/7392/1724337921.1280.1280__93725.1724338138.386.513.jpg?c=1,description,,Goodman AMST48CU13 4 Ton R 32 Multi Position Air Handler,updated,
Goodman,2572,AMST48CU13,Goodman AMST48CU13 4 Ton R-32 Multi-Position Air Handler,7393,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2572/images/7393/1724337921.1280.1280__28358.1724338138.386.513.jpg?c=1,description,,Goodman AMST48CU13 4 Ton R 32 Multi Position Air Handler,updated,
Goodman,2573,AMST60DU13,Goodman AMST60DU13 5 Ton R-32 Multi-Position Air Handler,7394,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2573/images/7394/1724337921.1280.1280__93725.1724338138.1280.1280__31632.1724338424.386.513.jpg?c=1,description,,Goodman AMST60DU13 5 Ton R 32 Multi Position Air Handler,updated,
