offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
RH2TY2417STANNJ,RHEEM RH2TY2417STANNJ - 2.0 Ton Constant Torque Air Handler,Rheem,0 USD,in stock,rheem > air handlers > 2 ton,,RH2TY2417STANNJ,new,,,True,rheem,False,,,GTIN
1290LTFIT,"1/2"" 90 Degree Liquid Tite fitting",,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
DT302,Dual Input Logging Thermometer,UEI,0 USD,in stock,tools,,DT302,new,,,False,,False,,,GTIN
"GLXS5BA4810, GR9S920804CNA, CHPTA4830C3",GOODMAN 4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS5BA4810, GR9S960804CNA, CHPTA4830C3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
S-GPGM33004031,Solace 2.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM33004031,Solace,0 USD,in stock,solace,,S-GPGM33004031,new,,,True,solace,False,,,GTIN
S-AWST18SU1303A,Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1303A,Solace,0 USD,in stock,solace,,S-AWST18SU1303A,new,,,True,solace,False,,,GTIN
S-GXV6SS3610,Solace 3 Ton 16.2 SEER2 R-32 Air Conditioner - S-GXV6SS3610,Solace,0 USD,in stock,solace,,S-GXV6SS3610,new,,,True,solace,False,,,GTIN
10434476947625246329,GOODMAN 2 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
PF1820,18x20x1” Pleated Filter,GlassFloss,0 USD,in stock,hvac parts supplies,,PF1820,new,,,False,,False,,,GTIN
"GLXS3BN3010, GR9S800603ANA, CAPTA3022A3",GOODMAN 2.5 Ton 13.4 SEER2 R-32 80% AFUE AC System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS3BN3010, GR9S800603ANA, CAPTA3022A3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
