product_id,title,brand,price,gtin,mpn,campaign,impressions,clicks,cost,conversions,conv_value,roas,cpc,has_brand_in_title,matched_brand,in_merchant_center
rp15ay48aj2na,RHEEM 4.0 Ton 15.2 SEER2 Two-Stage Heat Pump,rheem,,,,Products merchant campaign,1495,21,37.871182,0.0,0.0,0.0,1.8033896190476189,True,rheem,False
"ra14ay36aj1na, r921t0603a17m4snas, rcfy3617stanmc","Rheem 3.0 Ton AC System 14.3 SEER2 with 60,000 BTU 92% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,4084,28,37.55,0.0,0.0,0.0,1.3410714285714285,True,rheem,False
"gzv6sa3610, ahve36cp1300, hktsn10x1, gtst-cw-wh-a",GOODMAN 3 Ton 16.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,goodman,,,,Products merchant campaign,3972,51,37.2,0.0,0.0,0.0,0.7294117647058824,True,goodman,False
r921t1005a21m4snas,"RHEEM R921T1005A21M4SNAS - 100,000 BTU 92% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,2347,30,36.153251,0.686159,1328.50674785,36.74653623404435,1.2051083666666667,True,rheem,False
gr9s800604bna,Goodman GR9S800604BNA 80% AFUE Gas Furnace,goodman,,,,Products merchant campaign,1945,11,35.838122,0.0,0.0,0.0,3.2580110909090907,True,goodman,False
ra16ay24aj2na,RHEEM RA16AY24AJ2NA - 2.0 Ton 16.0 SEER2 Two-Stage Air Conditioner,rheem,,,,Products merchant campaign,2388,26,34.662625,0.0,0.0,0.0,1.3331778846153846,True,rheem,False
gr9t800805cn,"Goodman 80,000 BTU Gas Furnace 80% AFUE Two-Stage - GR9T800805CN",goodman,,,,Products merchant campaign,593,5,33.99,0.0,0.0,0.0,6.798,True,goodman,False
atst-cwe-bl-a,AMANA SMART CONTROLLER – ATST-CWE-BL-A,goodman,,,,Products merchant campaign,5865,208,33.087202,0.0,0.0,0.0,0.15907308653846153,True,amana,False
rp14ay36aj2na,RHEEM 3.0 Ton 14.3 SEER2 Two-Stage Heat Pump,rheem,,,,Products merchant campaign,3888,25,32.098459,0.0,0.0,0.0,1.2839383599999998,True,rheem,False
gr9s800804cna,Goodman GR9S800804CNA 80% AFUE Gas Furnace,goodman,,,,Products merchant campaign,1326,6,31.82,0.0,0.0,0.0,5.303333333333334,True,goodman,False
"rp15ay36aj2na, r921t0603a17m4snas, rcfy3617stanmc",Rheem 3.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B,rheem,,,,Products merchant campaign,5487,42,31.48,0.0,0.0,0.0,0.7495238095238095,True,rheem,False
r921v1005a21m4scap,"RHEEM R921V1005A21M4SCAP - 100,000 BTU 92% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,1125,15,31.319295,0.074697,144.62459655,4.617747511557971,2.087953,True,rheem,False
"ra16ay48aj2na, r801v1005a21uhscap, rcfy4821stanmc",Rheem 4.0 Ton 16.0 SEER2 AC & 80% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,3717,36,30.2,0.0,0.0,0.0,0.8388888888888889,True,rheem,False
rp15ay24aj2na,RHEEM 2.0 Ton 15.2 SEER2 Two-Stage Heat Pump,rheem,,,,Products merchant campaign,1729,24,29.843168,0.0,0.0,0.0,1.2434653333333332,True,rheem,False
s-hktsd15xa,Solace 15kW Electric Heat Kit - S-HKTSD15XA,solace,,,,Products merchant campaign,1835,15,29.81,0.0,0.0,0.0,1.9873333333333332,True,solace,False
