offer_id,current_title,new_title,brand
GLXS5BA2410,GOODMAN 2 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA2410,2 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA2410 - Goodman,goodman
"RP15AY36AJ2NA, RH2VY3617STACNJ, WRX10021",Rheem R-454B 3.0 Ton 16 SEER2 Complete Heat Pump System 10kW,R-454B 3.0 Ton 16 SEER2 Complete Heat Pump System 10kW - Rheem,rheem
"S-GLXT7CA6010,S-CAPTA6030C3,S-GRVT961005CN","SOLACE 5 Ton 17.2 SEER2 R-32 96% AFUE 100,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)","5 Ton 17.2 SEER2 R-32 96% AFUE 100,000 BTU Gas Furnace Air Conditioning System (Upflow Coil) - Solace",solace
"GLXS3BN4210, GR9S920804CNA, CHPTA4230C3",GOODMAN 3.5 Ton 13.4 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),3.5 Ton 13.4 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman,goodman
"S-GLZS4BA3610,S-AWST36LU1308A",SOLACE 3 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler,3 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler - Solace,solace
S-GPGM54210031,Solace 3.5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM54210031,3.5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM54210031 - Solace,solace
"S-GLXS4BA6010,S-GR9S801005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,solace
GXV6SS1810,Goodman 1.5 Ton R-32 Air Conditioner Condenser - GXV6SS1810,1.5 Ton R-32 Air Conditioner Condenser - GXV6SS1810 - Goodman,goodman
S-AHVE48CP1300,Solace 4 Ton R-32 Air Handler - S-AHVE48CP1300,4 Ton R-32 Air Handler - S-AHVE48CP1300 - Solace,solace
GD9S801005CN,"Goodman 100,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S801005CN","100,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S801005CN - Goodman",goodman
7402294822607746231,GOODMAN 1.5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Upflow Coil),1.5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Upflow Coil) - Goodman,goodman
"GLXS5BA2410, AWST24SU1305",GOODMAN 2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler,2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler - Goodman,goodman
"S-GLZS4BA6010,S-GR9S801005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil) - Solace,solace
"GLZS5BA6010, GR9S801005CNA, CAPTA6030C3",GOODMAN 5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil) - Goodman,goodman
"S-GLZS4BA3010,S-AWST30LU1310A",SOLACE 2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler 10KW heat kit,2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler 10KW heat kit - Solace,solace
S-AWST18SU1308A,Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1308A,1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1308A - Solace,solace
"S-GXV6SS2410,S-AHVE24BP1300,S-GTST-CW-WH-A",SOLACE 2 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,2 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler - Solace,solace
521KIT,Goodman Single-Stage Multi-Speed Gas Furnace 521KIT,Single-Stage Multi-Speed Gas Furnace 521KIT - Goodman,goodman
"S-GLXS4BA1810,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),1.5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,solace
GR9S920603BN,Goodman GR9S920603BN 92% AFUE Gas Furnace,GR9S920603BN 92% AFUE Gas Furnace - Goodman,goodman
"S-GLZS5BA4810,S-AMST48CU13",SOLACE 4 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,4 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Solace,solace
